,price,ID,address,prce,lat,lon
37597,850000,119065047,21 Stanley Street Bulleen Vic 3105 ,13.652991628466498,-37.7747717,145.0873718
7861,710000,114463315,117 Stadium Circuit Mulgrave Vic 3170 ,13.473020249017498,-37.9259275,145.1862644
52448,862000,120783289,8 Village Walk Vermont South Vic 3133 ,13.66701054964583,-37.8467398,145.1972197
26751,980000,117590187,6 Katta Court Ashwood Vic 3147 ,13.795307850646754,-37.8706307,145.1040521
37563,395000,119061027,20 Wendy Way Sunshine West Vic 3020 ,12.886641043883259,-37.7934819,144.8170524
40450,600000,119373555,69 Rosebank Avenue Clayton South Vic 3169 ,13.304684934198283,-37.9398559,145.1363477
7653,765000,114428987,8 Avalon Court Cheltenham Vic 3192 ,13.547631112808673,-37.9664838,145.0689237
9003,435000,114690823,79 Loughnan  Road Ringwood North Vic 3134 ,12.983101310070822,-37.8079951,145.2204225
26498,638000,117555663,910/69 Stead Street South Melbourne Vic 3205 ,13.366093562326927,-37.8355459,144.9685976
44649,445000,119851057,13 Jeffrey Close St Albans Vic 3021 ,13.005829561148378,-37.7636684,144.8076571
38024,585000,119111327,5 Cut Leaf Court Bundoora Vic 3083 ,13.279367126213993,-37.6836563,145.0510145
43521,1400000,119711183,365 Waverley Road Malvern East Vic 3145 ,14.151982794585487,-37.8776928,145.0639799
24816,546500,117326851,233 Stewart Street Brunswick East Vic 3057 ,13.21128958659873,-37.7640035,144.9681226
50524,1055000,120514213,22 Barrow Street Brunswick Vic 3056 ,13.869051324892304,-37.7620547,144.9695766
42501,641000,119604999,2 Grange Boulevard Bundoora Vic 3083 ,13.370784735902808,-37.7134215,145.0557113
27849,1170000,117729259,118 Balwyn Road Balwyn Vic 3103 ,13.972514306773938,-37.8093955,145.0822467
23425,1172000,117095395,21 Lees Street McKinnon Vic 3204 ,13.974222249119094,-37.9113545,145.0349105
20727,618500,116697763,1 Broadway Caroline Springs Vic 3023 ,13.335052470814679,-37.7262224,144.7487189
39075,588888,119204591,2/37 Colin Road Oakleigh South Vic 3167 ,13.28599129175103,-37.9137036,145.1130656
7925,577000,114478311,15 kingsley Road Airport West Vic 3042 ,13.265597545490236,-37.7265461,144.8733468
42045,390000,119559027,40 Moffat Street St Albans Vic 3021 ,12.873902018105829,-37.7368689,144.7822047
38973,819000,119195531,64 Leicester Street Preston Vic 3072 ,13.615839362835207,-37.7429274,144.9912769
46215,390000,120026289,36 Verdant Avenue Ardeer Vic 3022 ,12.873902018105829,-37.7760231,144.8017004
19747,870000,116517579,304/30 NewQuay Promenade Docklands Vic 3008 ,13.676248490630767,-37.8152934,144.9409806
14538,780000,115569951,76 Junction Street Newport Vic 3015 ,13.567049198665774,-37.8348308,144.8746608
49023,870000,120349177,12 Watson Court Clarinda Vic 3169 ,13.676248490630767,-37.9396746,145.0999137
20746,380000,116699439,28 Aldershot Drive Keilor Downs Vic 3038 ,12.84792653170257,-37.7194344,144.8093133
36641,656500,118947831,1/35 Docker Street Elwood Vic 3184 ,13.394677972724988,-37.8870215,144.9870866
19755,532000,116518719,7 Sinclair Avenue Hillside Vic 3037 ,13.184398768323781,-37.682889,144.7453225
31741,398000,118218911,4 Benjamin Court Sydenham Vic 3037 ,12.894207284266574,-37.6963893,144.7579614
12595,575000,115285523,8 Marilyn Crescent Ringwood Vic 3134 ,13.262125319779487,-37.7944004,145.2515854
11784,455000,115154567,1 Mantaura Ave Taylors Lakes Vic 3038 ,13.028052697933088,-37.7113793,144.8070467
48309,883000,120276565,74 Oriel Road Ivanhoe Vic 3079 ,13.691080479586097,-37.7586007,145.0376756
13586,1130000,115413531,21 Renown Street Bentleigh Vic 3204 ,13.937728190688523,-37.9212055,145.0464186
35796,355000,118847163,81 Atheldene Dr St Albans Vic 3021 ,12.779873068457553,-37.7298977,144.7850621
2011,990000,112924395,47 Talbot Avenue Balwyn Vic 3103 ,13.805460222110773,-37.8153178,145.0853631
2714,390000,113135595,14/52 Moubray Street Albert Park Vic 3206 ,12.873902018105829,-37.8436241,144.952684
22313,570000,116911539,23 Erinka Crescent Patterson Lakes Vic 3197 ,13.253391639810733,-38.0740362,145.1477505
11366,820000,115090067,36 Windsor Avenue Strathmore Vic 3041 ,13.617059619240436,-37.7377531,144.9074241
14561,500000,115573915,1 Roanoke Grove Deer Park Vic 3023 ,13.122363377404328,-37.7810077,144.7713122
42230,482500,119578423,2/3 Delacombe Court Cheltenham Vic 3192 ,13.086736199761178,-37.9563072,145.0714686
29107,915000,117901247,41  Amelia Avenue Essendon Vic 3040 ,13.726679344257658,-37.7444457,144.9256177
19344,595000,116448339,5/38 Livingstone Street Ivanhoe Vic 3079 ,13.296316684527767,-37.7667774,145.0326195
16617,600000,116035191,69 Nancy Street Cheltenham Vic 3192 ,13.304684934198283,-37.9712155,145.0816395
24522,882000,117274943,59 Eucalypt Avenue Templestowe Lower Vic 3107 ,13.68994733498893,-37.7712998,145.1282326
9501,618600,114795339,2/21 Stapley Crescent Chadstone Vic 3148 ,13.335214139233106,-37.8880516,145.0953346
40529,526000,119383375,4/35 Canberra Street Patterson Lakes Vic 3197 ,13.173056491719846,-38.0736296,145.1352569
41600,818000,119512987,8 Devlin Street Vermont Vic 3133 ,13.614617615584883,-37.8425873,145.2021066
48283,1200000,120270317,1770 Dandenong Road Clayton Vic 3168 ,13.997832114758229,-37.9159857,145.1290074
34959,647000,118615383,62 Bartram Rise Viewbank Vic 3084 ,13.380101573483037,-37.7435428,145.093489
42886,510000,119645495,4/10 Baringhup Street Cheltenham Vic 3192 ,13.142166004700508,-37.9653255,145.0629714
9921,790000,114864695,28 Howell Drive Mount Waverley Vic 3149 ,13.579788224443204,-37.8883175,145.1279526
7105,925000,114314015,1 & 2/14 Lydson Street Murrumbeena Vic 3163 ,13.737549016494562,-37.8957721,145.0750547
8048,683000,114505175,23-25 Grandview Road Warrandyte Vic 3113 ,13.434250138552928,-37.7559008,145.2152273
44666,448000,119853713,108 Copperfield Drive Delahey Vic 3037 ,13.012548511397123,-37.7126771,144.7713602
47547,285000,120182449,2/77 Fox Street St Albans Vic 3021 ,12.560244459250788,-37.7319202,144.7967163
8707,336500,114637319,8/53 Balaclava Road St Kilda East Vic 3183 ,12.72635342806692,-37.8701265,145.0044023
49532,415000,120402409,36 Phyllis Parade Deer Park Vic 3023 ,12.936033799212835,-37.7536788,144.7644964
10389,425000,114937343,21 Marlborough Street Fawkner Vic 3060 ,12.959844447906553,-37.718839,144.9713813
18300,825000,116299231,29a Widdop Crescent Hampton East Vic 3188 ,13.623138665316818,-37.9406118,145.0238523
9338,800000,114769551,17 Cheltenham Road Black Rock Vic 3193 ,13.592367006650065,-37.9670294,145.0200961
39961,813000,119326164,107/283 Spring Street Melbourne Vic 3000 ,13.608486388529947,-37.8140509,144.9742305
13391,728000,115391347,187 Dorking Road Box Hill North Vic 3129 ,13.498056327178823,-37.8030768,145.1334321
28508,375000,117820231,9 Fairbank Avenue Gladstone Park Vic 3043 ,12.834681304952548,-37.6846441,144.8889833
52198,465000,120746661,31/108 Union Street Brunswick Vic 3056 ,13.049792684569493,-37.7737477,144.9568007
28003,911000,117749111,86 Oakpark Drive Chadstone Vic 3148 ,13.722298176242095,-37.8909594,145.1062493
25621,528000,117436771,10 Tussock Grove Cairnlea Vic 3023 ,13.176851562688398,-37.7612195,144.7774281
43320,770000,119690699,42 Long Valley Way Doncaster East Vic 3109 ,13.554145793829866,-37.7679577,145.1780142
16112,892000,115959615,22 Nimmo Street Essendon Vic 3040 ,13.701221411562146,-37.7526501,144.8957632
12055,706000,115200331,41 Indra Road Blackburn South Vic 3130 ,13.467370516475379,-37.8399234,145.1398212
39108,599000,119210167,30 Ellery Street Bundoora Vic 3083 ,13.303016877097587,-37.6963274,145.0669911
27261,686000,117658403,2/3 Kara Street Doncaster East Vic 3109 ,13.438632906708023,-37.7915335,145.15516
26595,396000,117569443,51 Carbine Way Keilor Downs Vic 3038 ,12.889169490236618,-37.7251709,144.7932165
40672,1070000,119399467,3 Rodway Court Burwood Vic 3125 ,13.883169206438088,-37.8595826,145.1123304
12664,546000,115294867,36 Epstein Street Reservoir Vic 3073 ,13.210374254727043,-37.7084416,144.9934777
33552,840000,118422887,567 Victoria Street Brunswick West Vic 3055 ,13.641157170819497,-37.7654874,144.9493316
10619,785000,114973859,1/4 Florence Road Surrey Hills Vic 3127 ,13.573438996764546,-37.8293682,145.1021557
2151,492000,112963463,4/9 Matlock Street Camberwell Vic 3124 ,13.106233995474446,-37.8277351,145.0712857
48443,715000,120289829,52 Langrigg Avenue Edithvale Vic 3196 ,13.480037821676145,-38.0333125,145.112641
3969,867000,113526663,5 O'Grady Street Clifton Hill Vic 3068 ,13.672794255762678,-37.7876656,144.9978342
23196,1230000,117060563,7 Ballamore Crescent Doncaster Vic 3108 ,14.0225247273486,-37.7701852,145.1332792
26180,600000,117514395,54 - 56 Alice Street Clayton Vic 3168 ,13.304684934198283,-37.9183054,145.1174986
33211,900000,118386703,563 Albion Street Brunswick West Vic 3055 ,13.710150042306449,-37.7573294,144.9349807
38630,500000,119166359,53 Barrow Street Brunswick Vic 3056 ,13.122363377404328,-37.756447,144.9702609
3803,610000,113471783,29 Widdop Crescent Hampton East Vic 3188 ,13.321214236149494,-37.9406118,145.0238523
24759,880000,117317903,5 North Street Richmond Vic 3121 ,13.687677186454389,-37.8159792,145.0096819
41602,530000,119513055,10 Barringun Crescent Clayton South Vic 3169 ,13.180632285528304,-37.9420447,145.1143885
25015,545000,117358311,9 Chaumont Drive Avondale Heights Vic 3034 ,13.208541073645382,-37.7547012,144.8596589
5226,400000,113847887,5/30 McLean Street Brunswick West Vic 3055 ,12.89921982609012,-37.7542831,144.938365
38120,672000,119119975,2/173 Blackburn Road Blackburn South Vic 3130 ,13.418013619505286,-37.8327936,145.15641
10282,590000,114921687,3/4 Barton Road Clayton South Vic 3169 ,13.287877815881902,-37.9286078,145.1109723
241,310000,110021837,8 Cole Street Laverton Vic 3028 ,12.644327576461329,-37.8526757,144.7708408
11200,491000,115062523,2/1397 Dandenong Road Malvern East Vic 3145 ,13.104199406776658,-37.890579,145.08365
14037,747000,115478275,25 Gwyn Rise Vermont South Vic 3133 ,13.523820464114955,-37.8493382,145.1874303
24635,323500,117295815,2/524 Moreland Road Brunswick West Vic 3055 ,12.686954392923091,-37.7523029,144.9373412
36241,480000,118906863,1/62 Clematis Avenue Altona North Vic 3025 ,13.081541382884074,-37.8266174,144.8531854
51818,725000,120704777,1/6 Acton Street Mount Waverley Vic 3149 ,13.493926933836812,-37.8935026,145.1170336
13378,595000,115390227,1 Aonach Street Clayton South Vic 3169 ,13.296316684527767,-37.9307803,145.1323315
23474,740000,117099683,54 Brysons Road Warranwood Vic 3134 ,13.514405465180353,-37.7694159,145.2508136
29879,689900,117989259,201 Whitehorse Road Balwyn Vic 3103 ,13.4443019385342,-37.8116461,145.0727489
17560,415000,116201107,4/13 Gellibrand Crescent Reservoir Vic 3073 ,12.936033799212835,-37.7058517,145.0033498
4016,267000,113537339,1/8 Browning Avenue Clayton South Vic 3169 ,12.495003937382387,-37.937243,145.1331883
10939,850000,115009795,5 Tranmere Avenue Carnegie Vic 3163 ,13.652991628466498,-37.888141,145.0616238
15697,520000,115897927,2/32 Sellars Street Watsonia North Vic 3087 ,13.16158409055761,-37.6976365,145.0902517
18846,390000,116380623,6 Bantock Lane Caroline Springs Vic 3023 ,12.873902018105829,-37.7400516,144.7277961
7392,547000,114368055,5/47 Coorigil Road Carnegie Vic 3163 ,13.212204081404119,-37.8956388,145.0604907
6957,310000,114283295,107B/1 Manna Gum Court Coburg Vic 3058 ,12.644327576461329,-37.7370264,144.9765025
462,295000,111392723,3/5 Dickens Street Heidelberg Heights Vic 3081 ,12.594730635321957,-37.7358516,145.0528636
45678,472300,119955145,33 Harrison Street Deer Park Vic 3023 ,13.065369655884208,-37.7685093,144.7709509
52362,690000,120770605,26 Bellavista Crescent Clayton South Vic 3169 ,13.444446876573442,-37.9540789,145.1333418
36548,750000,118936539,1/230 Princess Street Kew Vic 3101 ,13.527828485512494,-37.791971,145.0317498
39259,395000,119220455,13 Birchwood Way Delahey Vic 3037 ,12.886641043883259,-37.7136735,144.7728271
30513,340000,118048287,183/88 Southbank Blvd Southbank Vic 3006 ,12.736700896592344,-37.8235639,144.967447
42702,525000,119626683,31 Peppermint Grove Taylors Hill Vic 3037 ,13.17115354157376,-37.7208675,144.7396488
8615,360000,114619859,2/2 Valente Street Altona Meadows Vic 3028 ,12.793859310432293,-37.8661169,144.7891208
21499,962100,116805859,26 Baradine Terrace Donvale Vic 3111 ,13.776873674349355,-37.7745586,145.1881071
10733,437500,114983643,2 Kalang Road Glenroy Vic 3046 ,12.988831984779805,-37.7100204,144.9222145
24988,555000,117352835,9 Scotsburn Avenue Oakleigh South Vic 3167 ,13.226723392728571,-37.9206975,145.1085953
2675,786000,113119479,34 Oxford Street Newport Vic 3015 ,13.574712071411344,-37.8390836,144.8768579
13658,735000,115422335,92 Paloma Street Bentleigh East Vic 3165 ,13.507625778194974,-37.9154103,145.0835076
40154,830000,119346007,33 Excelsior Street Reservoir Vic 3073 ,13.62918097977278,-37.7237043,144.9975145
18118,700000,116277519,81 Spring Street Reservoir Vic 3073 ,13.458835614025542,-37.7301319,145.0003655
20939,650000,116727187,62 Hedge End Road Nunawading Vic 3131 ,13.38472764187182,-37.8078348,145.1846274
24179,1125000,117213347,368 Manningham Road Doncaster Vic 3108 ,13.933293593620657,-37.7777561,145.1200521
25165,310000,117379107,24 Angelique Grove Albanvale Vic 3021 ,12.644327576461329,-37.7504406,144.7716286
32872,1200000,118348787,9 Mandella Street Templestowe Vic 3106 ,13.997832114758229,-37.7570084,145.1363452
22203,845000,116898387,53 Parkmore Road Bentleigh East Vic 3165 ,13.64709190633931,-37.9147631,145.0668208
2282,705000,113010927,9 Wilson Street Highett Vic 3190 ,13.465953081794405,-37.9500821,145.0263352
2241,438000,112993011,2 Maple Grove Bundoora Vic 3083 ,12.989974189358584,-37.706935,145.0641752
11760,316000,115150639,1/46 Eucalyptus Drive Maidstone Vic 3012 ,12.66349749256905,-37.7797275,144.8717634
31492,315000,118183055,526A Albion Street Brunswick West Vic 3055 ,12.66032791780777,-37.7592769,144.9500681
47382,525000,120163705,21 Carrington Road Reservoir Vic 3073 ,13.17115354157376,-37.7218328,144.9884074
11591,451000,115126939,18 View Street St Albans Vic 3021 ,13.019222618484815,-37.7431134,144.8044008
49137,800000,120362777,576-578 Park Road Park Orchards Vic 3114 ,13.592367006650065,-37.7787611,145.2155604
14742,675000,115623915,8 Richardson Street Brunswick Vic 3056 ,13.422467969854667,-37.7689641,144.967784
47435,380000,120171413,4 Stradishall Way Tullamarine Vic 3043 ,12.84792653170257,-37.6954473,144.8829101
20098,602860,116583731,12 Hall Road Warrandyte Vic 3113 ,13.309440276282144,-37.7635612,145.2333135
45960,607000,119990261,3 Abbotsford Lane Caroline Springs Vic 3023 ,13.316284070041636,-37.7372069,144.7405393
12326,345000,115241799,19 Penzance Place Sydenham Vic 3037 ,12.751299696013497,-37.6862483,144.7583754
26053,450000,117493899,33 Melfin  Drive Hillside Vic 3037 ,13.017002861746503,-37.686675,144.7459249
4676,711000,113704791,5 Remy Court Vermont South Vic 3133 ,13.474427708785377,-37.8618123,145.1789631
7911,908000,114475863,17 Hume Street Beaumaris Vic 3193 ,13.71899965758343,-37.979102,145.0379752
51366,615000,120616401,4/32 Allambee Avenue Camberwell Vic 3124 ,13.329377546788654,-37.8351729,145.0729221
37238,377500,119010391,28 Tristan Court Hadfield Vic 3046 ,12.841325847671216,-37.7135828,144.9517481
5299,705000,113866963,5 Gerbera Court Blackburn North Vic 3130 ,13.465953081794405,-37.8032565,145.1514846
15494,425000,115858667,49 Brentwood Drive Werribee Vic 3030 ,12.959844447906553,-37.8723454,144.6580088
41963,730000,119550371,6/3 Freeman Street Caulfield Vic 3162 ,13.500799813124575,-37.8865976,145.0300419
34052,618000,118495475,109 Summerhill Road Footscray Vic 3011 ,13.334243736439827,-37.7951614,144.8820793
44515,835000,119834067,25  Husband Road Forest Hill Vic 3131 ,13.635187003832993,-37.8385291,145.1748717
39484,535000,119239271,14 Military Road Avondale Heights Vic 3034 ,13.190022025878143,-37.7694414,144.8652972
12304,393000,115237031,10/42A Byron Street Footscray Vic 3011 ,12.881564890851399,-37.7995289,144.9042366
18483,653000,116320903,3/46 Abbott Street Sandringham Vic 3191 ,13.389332408258568,-37.9489033,145.0051667
12513,670000,115269787,23 Flett Street Preston Vic 3072 ,13.415032991367148,-37.7486352,145.0053561
15661,780000,115889703,2 Natal Avenue Edithvale Vic 3196 ,13.567049198665774,-38.0353213,145.1057346
50671,622500,120532929,34 Bluebell Crescent Gowanbrae Vic 3043 ,13.341498907321,-37.7039188,144.8943945
